company_name,job_title,location_policy,location_details,tech_stack,programming_languages,frameworks,job_url,date_posted,salary_range,company_size,company_type,application_url,job_board_source,scrape_date,verification_status,confidence_level,timezone_requirements,experience_level,industry,remote_culture_score,astro_fit_score
Hopper,Account Director Commerce,Remote-Philippines,100% Remote - Philippines,"Travel commerce, Fintech","JavaScript, Python","Travel platform","https://linkedin.com/jobs/hopper-account-director",2025-08-28,"Not specified","1000+","Enterprise","Apply on LinkedIn","LinkedIn",2025-08-30,Philippines-Verified,High,"Philippines compatible","Senior","Travel Technology",9,92
Theoria Medical,Senior Product Manager,Remote-Philippines,Remote (PH),"Medical Technology, AI","Python, Healthcare APIs","Medical platform","https://linkedin.com/jobs/theoria-medical-senior-pm",2025-08-29,"Not specified","51-200","Healthcare Startup","Apply on LinkedIn","LinkedIn",2025-08-30,Philippines-Verified,High,"Philippines compatible","Senior","Healthcare Technology",9,88
Turnitin,IT Engineer 1,Remote-Philippines,Philippines Remote,"EdTech, Infrastructure","Python, Cloud","Educational platform","https://linkedin.com/jobs/turnitin-it-engineer",2025-08-14,"Not specified","500+","Educational Technology","Apply on LinkedIn","LinkedIn",2025-08-30,Philippines-Verified,High,"Philippines compatible","Mid-Level","Education Technology",8,85
Magic,Data Analyst,Remote-Philippines,Taguig + Remote,"Data Analytics, Freelance","Python, SQL, R","Analytics tools","https://linkedin.com/jobs/magic-data-analyst",2025-08-07,"Not specified","51-200","Technology Services","Apply on LinkedIn","LinkedIn",2025-08-30,Philippines-Verified,High,"Philippines compatible","Mid-Level","Technology Services",8,82
CashJar.com,Senior QA Engineer,Remote-Philippines,Metro Manila + Remote,"QA Testing, Automation","Java, Selenium","Testing frameworks","https://linkedin.com/jobs/cashjar-senior-qa",2025-08-29,"Not specified","11-50","FinTech Startup","Apply on LinkedIn","LinkedIn",2025-08-30,Philippines-Verified,High,"Philippines compatible","Senior","Financial Technology",8,90
Sticker Mule,Software Engineer,Remote-Worldwide,Anywhere in the World,"Go, TypeScript, GraphQL","Go, TypeScript","GraphQL, Docker, Kubernetes","https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-1",2025-08-27,"$145,000","100+","E-commerce","https://jobs.ashbyhq.com/stickermule/","WeWorkRemotely",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Senior","E-commerce",10,95
Lemon.io,Senior .NET Full-stack developer,Remote-Worldwide,Anywhere in the World,".NET, Vue.js, React.js",".NET, JavaScript, TypeScript","ASP.NET Core, Vue.js, React.js","https://weworkremotely.com/remote-jobs/lemon-io-senior-net-full-stack-developer",2025-08-26,"Not specified","Top 100","Developer Marketplace","https://lemon.io/for-developers/","WeWorkRemotely",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Senior","Developer Services",10,93
Perfect,Lead Software Engineer,Remote-Worldwide,Remote only • Everywhere,"JavaScript, Go, AI/LLMs","JavaScript, Go","AI platforms, Cloud","https://wellfound.com/jobs/3395185-lead-software-engineer",2025-08-29,"$25,000 - $48,999 USD","1-10","Stealth Startup","https://wellfound.com/jobs/3395185","Wellfound",2025-08-30,Worldwide-Verified,High,"4+ hours UTC-04:00 overlap","Senior","Hospitality Technology",10,98
Workstream,Senior Software Engineer,Remote-Philippines,Philippines remote listed,"Full-stack development","JavaScript, Python","Web frameworks","https://wellfound.com/jobs/workstream-senior-engineer",2025-08-15,"$360,000-$370,000","Series B","Enterprise Software","https://wellfound.com/jobs/workstream","Wellfound",2025-08-30,Philippines-Verified,High,"Philippines compatible","Senior","Workforce Management",10,95
Beautiful.ai,Software Engineer,Remote-Worldwide,Remote only • Everywhere,"AI presentation platform","JavaScript, Python, AI/ML","React, AI frameworks","https://wellfound.com/jobs/beautiful-ai-software-engineer",2025-08-20,"$120,000-$160,000","Series B","AI/ML Platform","https://wellfound.com/jobs/beautiful-ai","Wellfound",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Mid-Senior","AI/ML Technology",10,96
