Company,VC_Backer,Job_Title,Salary_Range,Equity_Range,Stage,Tech_Stack,Remote_Policy,Visa_Sponsorship,Apply_URL,Priority,Philippines_Friendly
Confident AI,YC W25,Founding Fullstack Engineer,$100K-$200K,1.5-2.0%,Seed,"TypeScript, React, LLMs",Remote US,Yes,https://www.workatastartup.com/jobs/83246,High,Medium
StackAI,YC W23,Security Engineer,$100K-$160K,0.5-1.0%,Series A,"AI/ML, Security",Remote,Yes,https://www.workatastartup.com/jobs/79368,High,Medium
Windmill,YC S22,Backend Engineer (Rust),€40K-€90K,0.3-0.8%,Series A,"Rust, Docker, K8s",Remote EU,Yes,https://www.workatastartup.com/jobs/54266,High,Low (timezone)
kapa.ai,YC S23,Research Engineer AI,$100K-$170K,0.5-1.2%,Series A,"Python, LLMs, NLP",Remote EU,Yes,https://www.workatastartup.com/jobs/76641,High,Low (timezone)
Shipmates,YC S22,Senior Software Engineer,$22K-$44K USD,0.2-0.5%,Series A,"React, Node.js",Remote PH,N/A,https://www.ycombinator.com/jobs/location/manila,Very High,Very High (LOCAL)
Bot MD,YC S18,Senior Product Data Engineer,$27K-$55K USD,0.1-0.3%,Series B,"Python, ML, Healthcare",Manila,N/A,https://www.ycombinator.com/jobs/location/manila,Very High,Very High (LOCAL)
Kalibrr,YC,Full-stack Engineer,$33K-$64K USD,0.1-0.4%,Series C,"React, Django, AWS",Manila + Remote,N/A,https://kalibrr.com/careers,Very High,Very High (LOCAL)
Temporal,Sequoia,Senior SWE Cloud,$180K-$225K,0.05-0.15%,Series C,"Go, K8s, Distributed",Remote US/CA/AU/IN,Yes,https://temporal.io/careers,High,High (AU/IN offices)
Vanta,Sequoia,Senior Security Engineer,$218K-$256K,0.03-0.10%,Series D,"Python, AWS, Security",Fully Remote,Yes,https://jobs.ashbyhq.com/vanta,High,High
Hex,Sequoia,Full-stack Engineer,$150K-$210K,0.05-0.20%,Series C,"TypeScript, React, Python",Fully Remote,Yes,https://hex.tech/careers,High,High
Statsig,Sequoia,Solutions Engineer,$140K-$200K,0.05-0.15%,Series C,"React, TypeScript, Python",Remote US,Yes,https://jobs.ashbyhq.com/statsig,High,Medium
Glean,Sequoia+KP,SWE AI/Search,$170K-$250K,0.02-0.08%,Series F,"Python, ML, Search",Remote,Yes,https://glean.com/careers,Medium,Medium
XBOW,Sequoia,Security Engineer,$150K-$220K,0.1-0.3%,Series B,"Python, AI, Security",Fully Remote,Yes,Check Sequoia board,High,High
OpenRouter,Sequoia,Backend Engineer,$120K-$180K,0.5-1.5%,Series A,"Node.js, AI APIs",Fully Remote,Yes,Check Sequoia board,Very High,Very High
Semgrep,Sequoia,Software Engineer,$150K-$210K,0.05-0.15%,Series D,"OCaml, Python",Remote-first,Yes,https://semgrep.com/careers,Medium,High
Chainguard,Sequoia,Software Engineer,$160K-$230K,0.03-0.10%,Series D,"Go, Kubernetes, Security",Remote,Yes,Check Sequoia board,Medium,Medium
xAI,Sequoia,SWE X Money,$180K-$440K,Significant,Series B,"Python, AI/ML, Payments",On-site PA,Yes,Check company board,Low,Low (on-site)
